id,state,name,residents_confirmed,residents_confirmed_rate,residents_deaths,residents_deaths_rate,residents_active,residents_active_rate,residents_tested,residents_tested_rate,staff_confirmed,staff_confirmed_rate,staff_deaths,staff_deaths_rate,staff_active,staff_active_rate
1098,Oklahoma,Bill Johnson Correctional Center,2020-10-08|2;2020-10-09|2;2020-10-12|2;2020-10-13|0;2020-10-14|58;2020-10-15|58;2020-10-19|58;,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;2021-02-03|0;2021-02-05|0;2021-02-08|0;2021-02-10|0;2021-02-12|0;2021-02-15|0;2021-02-17|0;2021-02-19|0;2021-02-22|0;2021-02-23|0;2021-02-24|0;2021-02-26|0;2021-02-28|0;2021-03-01|0;2021-03-03|0;2021-03-05|0;2021-03-07|0;2021-03-08|0;2021-03-10|0;2021-03-12|0;2021-03-14|0;2021-03-17|0;2021-03-19|0;2021-03-24|0;2021-03-26|0;2021-03-28|0;2021-03-31|0;2021-04-02|0;2021-04-04|0;2021-04-05|0;2021-04-07|0;2021-04-09|0;2021-04-11|0;2021-04-12|0;2021-04-14|0;2021-04-16|0;2021-04-18|0;2021-04-19|0;2021-04-21|0;2021-04-23|0;2021-04-25|0;2021-04-26|0;2021-04-28|0;2021-04-30|0;2021-05-02|0;2021-05-03|0;2021-05-05|0;2021-05-07|0;2021-05-09|0;2021-05-10|0;2021-05-12|0;2021-05-14|0;2021-05-16|0;2021-05-17|0;2021-05-19|0;2021-05-21|0;2021-05-23|0;2021-05-24|0;2021-05-26|0;2021-05-30|0;2021-06-02|0;2021-06-04|0;2021-06-06|0;2021-06-07|0;2021-06-09|0;2021-06-11|0;2021-06-13|0;2021-06-14|0;2021-06-18|0;2021-06-21|0;2021-06-25|0;,,,,,,2020-10-09|3;2020-10-12|3;2020-10-13|3;2020-10-14|9;2020-10-15|9;2020-10-19|9;,,2020-10-08|0;2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,,
1099,Oklahoma,Bridgeway Inc Halfway House,2020-10-08|0;2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|1;2020-10-15|1;2020-10-19|1;,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;2021-02-03|0;2021-02-05|0;2021-02-08|0;2021-02-10|0;2021-02-12|0;2021-02-15|0;2021-02-17|0;2021-02-19|0;2021-02-22|0;2021-02-23|0;2021-02-24|0;2021-02-26|0;2021-02-28|0;2021-03-01|0;2021-03-03|0;2021-03-05|0;2021-03-07|0;2021-03-08|0;2021-03-10|0;2021-03-12|0;2021-03-14|0;2021-03-17|0;2021-03-19|0;2021-03-24|0;2021-03-26|0;2021-03-28|0;2021-03-31|0;2021-04-02|0;2021-04-04|0;2021-04-05|0;2021-04-07|0;2021-04-09|0;2021-04-11|0;2021-04-12|0;2021-04-14|0;2021-04-16|0;2021-04-18|0;2021-04-19|0;2021-04-21|0;2021-04-23|0;2021-04-25|0;2021-04-26|0;2021-04-28|0;2021-04-30|0;2021-05-02|0;2021-05-03|0;2021-05-05|0;2021-05-07|0;2021-05-09|0;2021-05-10|0;2021-05-12|0;2021-05-14|0;2021-05-16|0;2021-05-17|0;2021-05-19|0;2021-05-21|0;2021-05-23|0;2021-05-24|0;2021-05-26|0;2021-05-30|0;2021-06-02|0;2021-06-04|0;2021-06-06|0;2021-06-07|0;2021-06-09|0;2021-06-11|0;2021-06-13|0;2021-06-14|0;2021-06-18|0;2021-06-21|0;2021-06-25|0;,,,,,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,2020-10-08|0;2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,,
1100,Oklahoma,Carver Transitional Center Halfway House,2020-10-08|2;2020-10-09|2;2020-10-12|2;2020-10-13|4;2020-10-14|15;2020-10-15|15;2020-10-19|15;,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,,,,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,2020-10-08|0;2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,,
1101,Oklahoma,Cimarron Correctional Facility Private Prison,2020-10-08|0;2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|49;2020-10-15|49;2020-10-19|49;,,2020-10-09|1;2020-10-12|1;2020-10-13|1;2020-10-14|1;2020-10-15|1;2020-10-19|1;2021-02-03|1;2021-02-05|1;2021-02-08|1;2021-02-10|1;2021-02-12|1;2021-02-15|1;2021-02-17|1;2021-02-19|1;2021-02-22|1;2021-02-23|1;2021-02-24|1;2021-02-26|1;2021-02-28|1;2021-03-01|1;2021-03-03|1;2021-03-05|1;2021-03-07|1;2021-03-08|1;2021-03-10|1;2021-03-12|1;2021-03-14|1;2021-03-17|1;2021-03-19|1;2021-03-24|1;2021-03-26|1;2021-03-28|1;2021-03-31|1;2021-04-02|1;2021-04-04|1;2021-04-05|1;2021-04-07|1;2021-04-09|1;2021-04-11|1;2021-04-12|1;2021-04-14|1;2021-04-16|1;2021-04-18|1;2021-04-19|1;2021-04-21|1;2021-04-23|1;2021-04-25|1;2021-04-26|1;2021-04-28|1;2021-04-30|1;2021-05-02|1;2021-05-03|1;2021-05-05|1;2021-05-07|1;2021-05-09|1;2021-05-10|1;2021-05-12|1;2021-05-14|1;2021-05-16|1;2021-05-17|1;2021-05-19|1;2021-05-21|1;2021-05-23|1;2021-05-24|1;2021-05-26|1;2021-05-30|1;2021-06-02|1;2021-06-04|1;2021-06-06|1;2021-06-07|1;2021-06-09|1;2021-06-11|1;2021-06-13|1;2021-06-14|1;2021-06-18|1;2021-06-21|1;2021-06-25|1;,,,,,,,,,,,
1102,Oklahoma,Clara Waters Community Corrections Center,2020-10-08|3;2020-10-09|3;2020-10-12|3;2020-10-13|12;2020-10-14|17;2020-10-15|17;2020-10-19|19;,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;2021-02-03|1;2021-02-05|1;2021-02-08|1;2021-02-10|1;2021-02-12|1;2021-02-15|1;2021-02-17|1;2021-02-19|1;2021-02-22|1;2021-02-23|1;2021-02-24|1;2021-02-26|1;2021-02-28|1;2021-03-01|1;2021-03-03|1;2021-03-05|1;2021-03-07|1;2021-03-08|1;2021-03-10|1;2021-03-12|1;2021-03-14|1;2021-03-17|1;2021-03-19|1;2021-03-24|1;2021-03-26|1;2021-03-28|1;2021-03-31|1;2021-04-02|1;2021-04-04|1;2021-04-05|1;2021-04-07|1;2021-04-09|1;2021-04-11|1;2021-04-12|1;2021-04-14|1;2021-04-16|1;2021-04-18|1;2021-04-19|1;2021-04-21|1;2021-04-23|1;2021-04-25|1;2021-04-26|1;2021-04-28|1;2021-04-30|1;2021-05-02|1;2021-05-03|1;2021-05-05|1;2021-05-07|1;2021-05-09|1;2021-05-10|1;2021-05-12|1;2021-05-14|1;2021-05-16|1;2021-05-17|1;2021-05-19|1;2021-05-21|1;2021-05-23|1;2021-05-24|1;2021-05-26|1;2021-05-30|1;2021-06-02|1;2021-06-04|1;2021-06-06|1;2021-06-07|1;2021-06-09|1;2021-06-11|1;2021-06-13|1;2021-06-14|1;2021-06-18|1;2021-06-21|1;2021-06-25|1;,,,,,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|2;2020-10-15|2;2020-10-19|2;,,2020-10-08|0;2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,,
1103,Oklahoma,Davis Correctional Facility Private Prison,2020-10-08|4;2020-10-09|4;2020-10-12|4;2020-10-13|2;2020-10-14|68;2020-10-15|68;2020-10-19|69;,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;2021-02-03|2;2021-02-05|2;2021-02-08|2;2021-02-10|2;2021-02-12|2;2021-02-15|2;2021-02-17|2;2021-02-19|2;2021-02-22|2;2021-02-23|2;2021-02-24|2;2021-02-26|2;2021-02-28|2;2021-03-01|2;2021-03-03|2;2021-03-05|2;2021-03-07|2;2021-03-08|2;2021-03-10|2;2021-03-12|2;2021-03-14|3;2021-03-17|3;2021-03-19|3;2021-03-24|3;2021-03-26|3;2021-03-28|3;2021-03-31|3;2021-04-02|3;2021-04-04|3;2021-04-05|3;2021-04-07|3;2021-04-09|3;2021-04-11|3;2021-04-12|3;2021-04-14|3;2021-04-16|3;2021-04-18|3;2021-04-19|3;2021-04-21|3;2021-04-23|3;2021-04-25|3;2021-04-26|3;2021-04-28|3;2021-04-30|3;2021-05-02|3;2021-05-03|3;2021-05-05|3;2021-05-07|3;2021-05-09|3;2021-05-10|3;2021-05-12|3;2021-05-14|3;2021-05-16|3;2021-05-17|3;2021-05-19|3;2021-05-21|3;2021-05-23|3;2021-05-24|3;2021-05-26|3;2021-05-30|3;2021-06-02|3;2021-06-04|3;2021-06-06|3;2021-06-07|3;2021-06-09|3;2021-06-11|3;2021-06-13|3;2021-06-14|3;2021-06-18|3;2021-06-21|3;2021-06-25|3;,,,,,,,,,,,
1104,Oklahoma,Dick Conner Correctional Center,2020-10-08|113;2020-10-09|16;2020-10-12|16;2020-10-13|18;2020-10-14|417;2020-10-15|418;2020-10-19|419;,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;2021-02-03|0;2021-02-05|0;2021-02-08|0;2021-02-10|0;2021-02-12|0;2021-02-15|0;2021-02-17|0;2021-02-19|0;2021-02-22|0;2021-02-23|0;2021-02-24|0;2021-02-26|0;2021-02-28|0;2021-03-01|0;2021-03-03|0;2021-03-05|0;2021-03-07|0;2021-03-08|0;2021-03-10|0;2021-03-12|0;2021-03-14|0;2021-03-17|0;2021-03-19|0;2021-03-24|0;2021-03-26|0;2021-03-28|0;2021-03-31|0;2021-04-02|0;2021-04-04|0;2021-04-05|0;2021-04-07|0;2021-04-09|0;2021-04-11|0;2021-04-12|0;2021-04-14|0;2021-04-16|0;2021-04-18|0;2021-04-19|0;2021-04-21|0;2021-04-23|0;2021-04-25|0;2021-04-26|0;2021-04-28|0;2021-04-30|0;2021-05-02|0;2021-05-03|0;2021-05-05|0;2021-05-07|0;2021-05-09|0;2021-05-10|0;2021-05-12|0;2021-05-14|0;2021-05-16|0;2021-05-17|0;2021-05-19|0;2021-05-21|0;2021-05-23|0;2021-05-24|0;2021-05-26|0;2021-05-30|0;2021-06-02|0;2021-06-04|0;2021-06-06|0;2021-06-07|0;2021-06-09|0;2021-06-11|0;2021-06-13|0;2021-06-14|0;2021-06-18|0;2021-06-21|0;2021-06-25|0;,,,,,,2020-10-09|3;2020-10-12|3;2020-10-13|4;2020-10-14|23;2020-10-15|23;2020-10-19|24;,,2020-10-08|0;2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,,
1105,Oklahoma,Eddie Warrior Correctional Center,2020-10-08|0;2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|783;2020-10-15|783;2020-10-19|783;,,2020-10-09|2;2020-10-12|2;2020-10-13|2;2020-10-14|2;2020-10-15|2;2020-10-19|2;2021-02-03|2;2021-02-05|2;2021-02-08|2;2021-02-10|2;2021-02-12|2;2021-02-15|2;2021-02-17|2;2021-02-19|2;2021-02-22|2;2021-02-23|2;2021-02-24|2;2021-02-26|2;2021-02-28|2;2021-03-01|2;2021-03-03|2;2021-03-05|2;2021-03-07|2;2021-03-08|2;2021-03-10|2;2021-03-12|2;2021-03-14|2;2021-03-17|2;2021-03-19|2;2021-03-24|2;2021-03-26|2;2021-03-28|2;2021-03-31|2;2021-04-02|2;2021-04-04|2;2021-04-05|2;2021-04-07|2;2021-04-09|2;2021-04-11|2;2021-04-12|2;2021-04-14|2;2021-04-16|2;2021-04-18|2;2021-04-19|2;2021-04-21|2;2021-04-23|2;2021-04-25|2;2021-04-26|2;2021-04-28|2;2021-04-30|2;2021-05-02|2;2021-05-03|2;2021-05-05|2;2021-05-07|2;2021-05-09|2;2021-05-10|2;2021-05-12|2;2021-05-14|2;2021-05-16|2;2021-05-17|2;2021-05-19|2;2021-05-21|2;2021-05-23|2;2021-05-24|2;2021-05-26|2;2021-05-30|2;2021-06-02|2;2021-06-04|2;2021-06-06|2;2021-06-07|2;2021-06-09|2;2021-06-11|2;2021-06-13|2;2021-06-14|2;2021-06-18|2;2021-06-21|2;2021-06-25|2;,,,,,,2020-10-09|0;2020-10-12|0;2020-10-13|1;2020-10-14|22;2020-10-15|22;2020-10-19|22;,,2020-10-08|0;2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,,
1107,Oklahoma,Enid Community Corrections Center,2020-10-08|1;2020-10-09|1;2020-10-12|1;2020-10-13|0;2020-10-14|47;2020-10-15|47;2020-10-19|47;,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;2021-02-03|0;2021-02-05|0;2021-02-08|0;2021-02-10|0;2021-02-12|0;2021-02-15|0;2021-02-17|0;2021-02-19|0;2021-02-22|0;2021-02-23|0;2021-02-24|0;2021-02-26|0;2021-02-28|0;2021-03-01|0;2021-03-03|0;2021-03-05|0;2021-03-07|0;2021-03-08|0;2021-03-10|0;2021-03-12|0;2021-03-14|0;2021-03-17|0;2021-03-19|0;2021-03-24|0;2021-03-26|0;2021-03-28|0;2021-03-31|0;2021-04-02|0;2021-04-04|0;2021-04-05|0;2021-04-07|0;2021-04-09|0;2021-04-11|0;2021-04-12|0;2021-04-14|0;2021-04-16|0;2021-04-18|0;2021-04-19|0;2021-04-21|0;2021-04-23|0;2021-04-25|0;2021-04-26|0;2021-04-28|0;2021-04-30|0;2021-05-02|0;2021-05-03|0;2021-05-05|0;2021-05-07|0;2021-05-09|0;2021-05-10|0;2021-05-12|0;2021-05-14|0;2021-05-16|0;2021-05-17|0;2021-05-19|0;2021-05-21|0;2021-05-23|0;2021-05-24|0;2021-05-26|0;2021-05-30|0;2021-06-02|0;2021-06-04|0;2021-06-06|0;2021-06-07|0;2021-06-09|0;2021-06-11|0;2021-06-13|0;2021-06-14|0;2021-06-18|0;2021-06-21|0;2021-06-25|0;,,,,,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,2020-10-08|0;2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,,
1109,Oklahoma,Howard Mcleod Correctional Center,2020-10-08|10;2020-10-09|13;2020-10-12|13;2020-10-13|13;2020-10-14|159;2020-10-15|159;2020-10-19|180;,,2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;2021-02-03|0;2021-02-05|0;2021-02-08|0;2021-02-10|0;2021-02-12|0;2021-02-15|0;2021-02-17|0;2021-02-19|0;2021-02-22|0;2021-02-23|0;2021-02-24|0;2021-02-26|0;2021-02-28|0;2021-03-01|0;2021-03-03|0;2021-03-05|0;2021-03-07|0;2021-03-08|0;2021-03-10|0;2021-03-12|0;2021-03-14|0;2021-03-17|0;2021-03-19|0;2021-03-24|1;2021-03-26|1;2021-03-28|1;2021-03-31|1;2021-04-02|1;2021-04-04|1;2021-04-05|1;2021-04-07|1;2021-04-09|1;2021-04-11|1;2021-04-12|1;2021-04-14|1;2021-04-16|1;2021-04-18|1;2021-04-19|1;2021-04-21|1;2021-04-23|1;2021-04-25|1;2021-04-26|1;2021-04-28|1;2021-04-30|1;2021-05-02|1;2021-05-03|1;2021-05-05|1;2021-05-07|1;2021-05-09|1;2021-05-10|1;2021-05-12|1;2021-05-14|1;2021-05-16|1;2021-05-17|1;2021-05-19|1;2021-05-21|1;2021-05-23|1;2021-05-24|1;2021-05-26|1;2021-05-30|1;2021-06-02|1;2021-06-04|1;2021-06-06|1;2021-06-07|1;2021-06-09|1;2021-06-11|1;2021-06-13|1;2021-06-14|1;2021-06-18|1;2021-06-21|1;2021-06-25|1;,,,,,,2020-10-09|0;2020-10-12|0;2020-10-13|1;2020-10-14|2;2020-10-15|4;2020-10-19|4;,,2020-10-08|0;2020-10-09|0;2020-10-12|0;2020-10-13|0;2020-10-14|0;2020-10-15|0;2020-10-19|0;,,,
